id matchTime enumTime joinTime totTime numSoln solnNodes numNodesBefore numNodesAfter answerGraphSize
0 .09 .00 .00 .09 1 0 0 0 0
1 .83 .00 .00 .83 84 0 0 0 0
2 1.82 .00 .00 1.82 110 0 0 0 0
3 2.03 .00 .00 2.03 56 0 0 0 0
4 .15 .00 .00 .15 2 0 0 0 0
5 .42 .00 .00 .42 211 0 0 0 0
6 .79 .00 .00 .79 146 0 0 0 0
7 3.48 .00 .00 3.48 2 0 0 0 0
8 .62 .00 .00 .62 4 0 0 0 0
9 2.37 .00 .00 2.37 61 0 0 0 0
Average running time: 
[q0 matchTime:.09 enumTime:.00 joinTime:.00 totTime:.09]
[q1 matchTime:.83 enumTime:.00 joinTime:.00 totTime:.83]
[q2 matchTime:1.82 enumTime:.00 joinTime:.00 totTime:1.82]
[q3 matchTime:2.03 enumTime:.00 joinTime:.00 totTime:2.03]
[q4 matchTime:.15 enumTime:.00 joinTime:.00 totTime:.15]
[q5 matchTime:.42 enumTime:.00 joinTime:.00 totTime:.42]
[q6 matchTime:.79 enumTime:.00 joinTime:.00 totTime:.79]
[q7 matchTime:3.48 enumTime:.00 joinTime:.00 totTime:3.48]
[q8 matchTime:.62 enumTime:.00 joinTime:.00 totTime:.62]
[q9 matchTime:2.37 enumTime:.00 joinTime:.00 totTime:2.37]
Data loading Time:15.43
Index building Time:7.36
Average Eval Time per run:12.58
Average Eval Time per query:1.26
Average Matching Time per run:12.58
Average Matching Time per query:1.26
Average Join Time per run:.00
Average Join Time per query:.00
Average Nodes before per query:.00
Average Nodes after per query:.00
Average Soln nodes per query:.00
Average Size of query answer graph:.00
Average number of solution tuples per query:67.70
Average Size of solution tuples per query:.00
Max Used Memory:3238.00 MB
